rank	score	gene_symbol	gene_identifier
1	0.9	LMNA	ENSG00000160789
2	0.85	PPARG	ENSG00000132170
3	0.8	AGPAT2	ENSG00000169692
4	0.75	FOXC2	ENSG00000176692
5	0.7	TP53	ENSG00000141510
6	0.65	DLAT	ENSG00000150768
7	0.6	INS	ENSG00000254647
8	0.55	PTCH1	ENSG00000185920
9	0.5	SOX9	ENSG00000125398
10	0.45	THRB	ENSG00000151090
11	0.4	FGFR2	ENSG00000066468
12	0.35	GLIS3	ENSG00000107249
13	0.3	PRKAR1A	ENSG00000108946
14	0.25	ABCD1	ENSG00000101986
15	0.2	CCND1	ENSG00000110092
16	0.15	PTEN	ENSG00000171862
17	0.1	MSX2	ENSG00000120149
18	0.05	NOG	ENSG00000183691
