rank	score	gene_symbol	gene_identifier
1	0.95	SHOX	ENSG00000185960
2	0.92	TBX5	ENSG00000089225
3	0.89	FTO	ENSG00000140718
4	0.87	PTPN11	ENSG00000179295
5	0.84	NRXN1	ENSG00000179915
6	0.82	ARID1B	ENSG00000049618
7	0.8	EHMT1	ENSG00000181090
8	0.78	KMT2D	ENSG00000167548
9	0.76	FOXP2	ENSG00000128573
10	0.74	EP300	ENSG00000100393
11	0.72	GATA4	ENSG00000136574
12	0.7	SOX9	ENSG00000125398
13	0.68	HOXD13	ENSG00000128714
14	0.66	CDKL5	ENSG00000008086
15	0.64	MECP2	ENSG00000169057
16	0.62	KIF7	ENSG00000166813
17	0.6	PCDH19	ENSG00000165194
18	0.58	KRAS	ENSG00000133703
19	0.56	SETBP1	ENSG00000152217
20	0.54	PDGFRB	ENSG00000113721
21	0.52	ZFHX4	ENSG00000091656
