rank	score	gene_symbol	gene_identifier
1	0.9	KRT74	ENSG00000170484
2	0.87	MBTPS2	ENSG00000012174
3	0.85	DSG4	ENSG00000175065
4	0.82	BSCL2	ENSG00000168000
5	0.79	ATP7A	ENSG00000165240
6	0.76	FOXI1	ENSG00000168269
7	0.74	PIGQ	ENSG00000007541
8	0.71	KRT16	ENSG00000186832
9	0.68	FOXI2	ENSG00000186766
10	0.65	MBTPS1	ENSG00000140943
11	0.62	HTT	ENSG00000197386
12	0.59	KRT25	ENSG00000204897
13	0.56	ALOXE3	ENSG00000179148
14	0.53	MYO7A	ENSG00000137474
15	0.5	WNT10A	ENSG00000135925
16	0.47	EDA	ENSG00000158813
17	0.44	SLC27A4	ENSG00000167114
18	0.41	JAG1	ENSG00000101384
19	0.38	LMBR1	ENSG00000105983
20	0.35	AP1S1	ENSG00000106367
