rank	score	gene_symbol	gene_identifier
1	0.9	ARX	ENSG00000004848
2	0.85	CDKL5	ENSG00000008086
3	0.8	MECP2	ENSG00000169057
4	0.75	STXBP1	ENSG00000136854
5	0.7	TSC1	ENSG00000165699
5	0.7	TSC2	ENSG00000103197
7	0.65	FOXG1	ENSG00000176165
8	0.6	SYNGAP1	ENSG00000197283
9	0.55	UBE3A	ENSG00000114062
10	0.5	NRXN1	ENSG00000179915
11	0.45	GRIN2B	ENSG00000273079
12	0.4	PTEN	ENSG00000171862
13	0.35	SHANK3	ENSG00000251322
14	0.3	CNTNAP2	ENSG00000174469
15	0.25	FMR1	ENSG00000102081
16	0.2	ATP1A3	ENSG00000105409
