rank	score	gene_symbol	gene_identifier
1	0.9	POLG	ENSG00000140521
2	0.88	ETFA	ENSG00000140374
3	0.87	ETFB	ENSG00000105379
4	0.85	ETFDH	ENSG00000171503
5	0.83	ACADM	ENSG00000117054
6	0.82	SLC25A20	ENSG00000178537
7	0.8	CPT2	ENSG00000157184
8	0.79	BTD	ENSG00000169814
9	0.78	HMGCL	ENSG00000117305
10	0.77	GCDH	ENSG00000105607
11	0.75	SCN5A	ENSG00000183873
12	0.73	ALDH5A1	ENSG00000112294
13	0.72	PCCA	ENSG00000175198
14	0.71	PCCB	ENSG00000114054
15	0.69	SURF1	ENSG00000148290
16	0.68	SLC22A5	ENSG00000197375
17	0.67	FKTN	ENSG00000106692
18	0.65	DLD	ENSG00000091140
