rank	score	disease_name	disease_identifier
1	0.9	Loeys-Dietz syndrome	OMIM:609192
2	0.85	Marfan Syndrome	OMIM:154700
3	0.8	Ehlers-Danlos syndrome, vascular type	OMIM:130050
4	0.75	Aneurysm-osteoarthritis syndrome	OMIM:613795
5	0.7	Congenital contractural arachnodactyly	OMIM:121050
6	0.65	Ehlers-Danlos syndrome, hypermobility type	OMIM:130020
7	0.6	Shprintzen-Goldberg syndrome	OMIM:182212
8	0.55	Kabuki syndrome	OMIM:147920
9	0.51	Stickler syndrome, type 1	OMIM:108300
10	0.5	Lujan-Fryns syndrome	OMIM:309520
