rank	score	disease_name	disease_identifier
1	0.9	Autism spectrum disorder due to AUTS2 deficiency	OMIM:615834
2	0.85	Mowat-Wilson syndrome	OMIM:235730
3	0.8	Pitt-Hopkins syndrome	OMIM:610954
4	0.75	2p16.3 microdeletion syndrome	OMIM:612313
5	0.7	Smith-Magenis syndrome	OMIM:182290
6	0.65	Christian's syndrome 1	OMIM:135900
7	0.6	2q23.1 microdeletion syndrome	OMIM:156200
8	0.55	2q23.1 microduplication syndrome	OMIM:603243
9	0.5	Rett syndrome, atypical	OMIM:312750
10	0.45	Coffin-Lowry syndrome	OMIM:303600
