rank	score	disease_name	disease_identifier
1	0.9	Autosomal Dominant Polycystic Kidney Disease	OMIM:173900
2	0.85	Autosomal Recessive Polycystic Kidney Disease	OMIM:263200
3	0.83	Chronic Kidney Disease-Mineral And Bone Disorder	OMIM:611726
4	0.8	Hyperuricemic Nephropathy	OMIM:162000
5	0.78	Glomerulocystic Kidney Disease With Hyperuricemia And Isosthenuria	OMIM:609886
6	0.74	Medullary Cystic Kidney Disease 1	OMIM:174000
7	0.7	Nephronophthisis 1	OMIM:256100
8	0.66	Lowe Syndrome	OMIM:309000
9	0.65	Gout, Hp Variant	OMIM:138900
10	0.61	Renal Tubular Dysgenesis	OMIM:267430
