rank	score	gene_symbol	gene_identifier
1	0.9	GABRG2	ENSG00000113327
2	0.85	CDKL5	ENSG00000008086
3	0.8	MECP2	ENSG00000169057
4	0.76	SLC2A1	ENSG00000117394
5	0.73	ADSL	ENSG00000239900
6	0.71	FOXG1	ENSG00000176165
7	0.69	ARX	ENSG00000004848
8	0.66	ARHGEF9	ENSG00000131089
9	0.64	KPNA7	ENSG00000185467
10	0.62	EIF2B1	ENSG00000111361
11	0.6	DYNC1H1	ENSG00000197102
12	0.59	PLCB1	ENSG00000182621
13	0.57	ATP2B2	ENSG00000157087
14	0.55	FAM20C	ENSG00000177706
15	0.53	CLCN4	ENSG00000073464
16	0.51	TOR1A	ENSG00000136827
17	0.49	ATP13A2	ENSG00000159363
18	0.48	NEUROD1	ENSG00000162992
19	0.46	SPAST	ENSG00000021574
20	0.45	FGF3	ENSG00000186895
