rank	score	gene_symbol	gene_identifier
1	0.952	COL5A1	ENSG00000130635
2	0.932	COL5A2	ENSG00000204262
3	0.925	TNXB	ENSG00000168477
4	0.917	COL1A2	ENSG00000164692
5	0.895	FBN1	ENSG00000166147
6	0.882	COL3A1	ENSG00000168542
7	0.853	ADAMTS2	ENSG00000087116
8	0.829	CREBBP	ENSG00000005339
9	0.786	TGFBR1	ENSG00000106799
10	0.783	TGFB2	ENSG00000092969
11	0.759	TGFBR2	ENSG00000163513
12	0.718	COL1A1	ENSG00000108821
13	0.709	SMAD3	ENSG00000166949
14	0.705	SMAD4	ENSG00000141646
15	0.695	MBTPS2	ENSG00000012174
16	0.682	MTHFR	ENSG00000177000
17	0.674	SERPINH1	ENSG00000149257
18	0.662	SRCAP	ENSG00000080603
19	0.659	CREB1	ENSG00000118260
20	0.654	SERPINF1	ENSG00000132386
