rank	score	gene_symbol	gene_identifier
1	0.9	ARID1B	ENSG00000049618
2	0.84	IQSEC2	ENSG00000124313
3	0.8	STAG2	ENSG00000101972
4	0.78	KMT2A	ENSG00000118058
5	0.75	KMT2D	ENSG00000167548
6	0.72	MED12	ENSG00000184634
7	0.7	DNM1L	ENSG00000087470
8	0.65	LARP7	ENSG00000174720
9	0.6	BRAF	ENSG00000157764
10	0.55	FGF14	ENSG00000102466
11	0.5	PPP2R5D	ENSG00000112640
12	0.45	ZEB2	ENSG00000169554
13	0.4	AXS	
14	0.35	NBPF4	ENSG00000196427
15	0.3	NCAPG	ENSG00000109805
16	0.25	SLC37A3	ENSG00000157800
17	0.2	KIF17	ENSG00000117245
18	0.15	USP9X	ENSG00000124486
19	0.1	ARHGEF6	ENSG00000129675
20	0.05	ALG6	ENSG00000088035
