rank	score	gene_symbol	gene_identifier
1	0.886	BBS1	ENSG00000174483
2	0.866	BBS10	ENSG00000179941
3	0.853	BBS12	ENSG00000181004
4	0.842	BBS2	ENSG00000125124
5	0.838	BBS4	ENSG00000140463
6	0.835	BBS5	ENSG00000163093
7	0.831	BBS7	ENSG00000138686
8	0.829	BBS9	ENSG00000122507
9	0.827	INPP5E	ENSG00000148384
10	0.823	BBS8	
11	0.818	BBS10	ENSG00000179941
12	0.817	IMPDH1	ENSG00000106348
13	0.816	BBS13	
14	0.815	BBS3	ENSG00000113966
15	0.813	BBS1	ENSG00000174483
16	0.811	MKKS	ENSG00000125863
17	0.809	RPGRIP1L	ENSG00000103494
18	0.807	MKKS	ENSG00000125863
19	0.805	BBS2	ENSG00000125124
20	0.804	BBS4	ENSG00000140463
21	0.803	ALMS1	ENSG00000116127
21	0.803	MKKS	ENSG00000125863
23	0.802	BBS12	ENSG00000181004
24	0.8	BBS13	
