rank	score	gene_symbol	gene_identifier
1	1.0	CDKL5	ENSG00000008086
2	0.978	SLC17A5	ENSG00000119899
3	0.974	GNAO1	ENSG00000087258
4	0.956	MECP2	ENSG00000169057
5	0.936	TUBB2B	ENSG00000137285
6	0.922	FOXG1	ENSG00000176165
7	0.912	ARX	ENSG00000004848
8	0.898	ATP1A2	ENSG00000018625
9	0.892	TUBA1A	ENSG00000167552
10	0.886	ABAT	ENSG00000183044
11	0.88	STXBP1	ENSG00000136854
12	0.87	SERPINI1	ENSG00000163536
13	0.86	SPTAN1	ENSG00000197694
14	0.856	GABRB2	ENSG00000145864
15	0.85	PAFAH1B1	ENSG00000007168
