rank	score	gene_symbol	gene_identifier
1	0.9	CACNA1S	ENSG00000081248
2	0.85	RYR1	ENSG00000196218
3	0.8	MEGF10	ENSG00000145794
4	0.75	SPTAN1	ENSG00000197694
5	0.7	GLYCTK	ENSG00000168237
6	0.65	GOSR2	ENSG00000108433
7	0.6	BCKDHB	ENSG00000083123
8	0.55	GLUD1	ENSG00000148672
9	0.5	POU3F4	ENSG00000196767
10	0.45	CPT2	ENSG00000157184
11	0.4	SLC2A1	ENSG00000117394
12	0.35	ATP1A2	ENSG00000018625
13	0.3	MECP2	ENSG00000169057
14	0.25	SYNJ1	ENSG00000159082
15	0.2	BCKDK	ENSG00000103507
16	0.15	UBE3A	ENSG00000114062
17	0.1	GRIN2B	ENSG00000273079
18	0.05	ALDH7A1	ENSG00000164904
19	0.0	CTNNB1	ENSG00000168036
