rank	score	gene_symbol	gene_identifier
1	0.9	FBN1	ENSG00000166147
2	0.85	EIF2AK3	ENSG00000172071
3	0.8	MYH11	ENSG00000133392
4	0.7	TGFBR1	ENSG00000106799
5	0.65	ADAMTS10	ENSG00000142303
6	0.6	ATP6V1A	ENSG00000114573
7	0.55	COL3A1	ENSG00000168542
8	0.5	DIS3L2	ENSG00000144535
9	0.45	EIF2S3	ENSG00000130741
10	0.4	ELOVL4	ENSG00000118402
11	0.35	FRAS1	ENSG00000138759
12	0.3	FREM1	ENSG00000164946
13	0.25	GABRD	ENSG00000187730
14	0.2	GDF5	ENSG00000125965
15	0.15	GHRHR	ENSG00000106128
16	0.1	HGSNAT	ENSG00000165102
17	0.05	KCNK1	ENSG00000135750
