rank	score	gene_symbol	gene_identifier
1	0.95	ATP1A3	ENSG00000105409
2	0.92	MECP2	ENSG00000169057
3	0.85	ARX	ENSG00000004848
4	0.82	SLC2A1	ENSG00000117394
5	0.81	KCNQ2	ENSG00000075043
6	0.78	GPR56	ENSG00000205336
7	0.76	DCX	ENSG00000077279
8	0.72	TUBB3	ENSG00000258947
9	0.71	MEF2C	ENSG00000081189
10	0.69	CDKL5	ENSG00000008086
11	0.68	EHMT1	ENSG00000181090
12	0.66	SALL1	ENSG00000103449
13	0.63	GLI3	ENSG00000106571
14	0.61	WDR45	ENSG00000196998
15	0.58	STXBP1	ENSG00000136854
16	0.54	FOXG1	ENSG00000176165
17	0.51	SCN1A	ENSG00000144285
18	0.49	UBE3A	ENSG00000114062
