rank	score	gene_symbol	gene_identifier
1	0.84	PPP2CA	ENSG00000113575
2	0.83	ARID1B	ENSG00000049618
3	0.81	SLC35A2	ENSG00000102100
4	0.8	MEF2C	ENSG00000081189
4	0.8	NSD1	ENSG00000165671
6	0.79	CREBBP	ENSG00000005339
7	0.78	SETBP1	ENSG00000152217
7	0.78	KIF11	ENSG00000138160
9	0.76	ORC1	ENSG00000085840
10	0.75	MNX1	ENSG00000130675
10	0.75	HEY1	ENSG00000164683
12	0.73	GABBR2	ENSG00000136928
12	0.73	EHMT1	ENSG00000181090
12	0.73	CHD4	ENSG00000111642
15	0.72	RAD21	ENSG00000164754
15	0.72	CASK	ENSG00000147044
17	0.71	DNM1	ENSG00000106976
17	0.71	ACADVL	ENSG00000072778
19	0.7	CDKL5	ENSG00000008086
19	0.7	MBD5	ENSG00000204406
