rank	score	gene_symbol	gene_identifier
1	0.882	ZFYVE26	ENSG00000072121
2	0.853	CASK	ENSG00000147044
3	0.82	TBC1D23	ENSG00000036054
4	0.804	ARX	ENSG00000004848
5	0.794	FRMPD4	ENSG00000169933
6	0.789	OFD1	ENSG00000046651
7	0.785	ASTN2	ENSG00000148219
8	0.78	ASPM	ENSG00000066279
9	0.774	SLC9A6	ENSG00000198689
10	0.773	FAM20C	ENSG00000177706
11	0.768	TMEM237	ENSG00000155755
12	0.756	MUT	ENSG00000146085
13	0.743	RTTN	ENSG00000176225
14	0.739	ADGRG1	ENSG00000205336
15	0.732	RAB33B	ENSG00000172007
16	0.729	WDR45	ENSG00000196998
