rank	score	gene_symbol	gene_identifier
1	0.9	NKX2-5	ENSG00000183072
2	0.87	TBX1	ENSG00000184058
3	0.86	GATA4	ENSG00000136574
4	0.85	ISL1	ENSG00000016082
5	0.78	FOXC1	ENSG00000054598
6	0.77	FBN1	ENSG00000166147
7	0.76	NOTCH1	ENSG00000148400
8	0.75	TBX5	ENSG00000089225
9	0.74	CRELD1	ENSG00000163703
10	0.73	MYH6	ENSG00000197616
11	0.72	SMAD3	ENSG00000166949
12	0.71	SMAD6	ENSG00000137834
13	0.7	JAG1	ENSG00000101384
14	0.65	GJA1	ENSG00000152661
15	0.64	MYH11	ENSG00000133392
16	0.63	MYH9	ENSG00000100345
17	0.62	PITX2	ENSG00000164093
18	0.61	NOTCH2	ENSG00000134250
19	0.6	GJA5	ENSG00000265107
