rank	score	gene_symbol	gene_identifier
1	0.924	ALB	ENSG00000163631
2	0.913	SLC2A1	ENSG00000117394
3	0.897	BRCA1	ENSG00000012048
4	0.894	HMGCL	ENSG00000117305
5	0.892	GAA	ENSG00000171298
6	0.889	ALDOB	ENSG00000136872
7	0.884	G6PC	ENSG00000131482
8	0.873	COL1A1	ENSG00000108821
9	0.865	FBN1	ENSG00000166147
10	0.864	MUT	ENSG00000146085
11	0.862	ATP7B	ENSG00000123191
12	0.858	GLB1	ENSG00000170266
13	0.856	MTHFR	ENSG00000177000
14	0.853	ABCC8	ENSG00000006071
15	0.852	GALC	ENSG00000054983
16	0.851	MGP	ENSG00000111341
17	0.846	GCG	ENSG00000115263
18	0.841	CCND2	ENSG00000118971
19	0.84	VDR	ENSG00000111424
20	0.839	ENG	ENSG00000106991
