rank	score	gene_symbol	gene_identifier
1	0.96	LOXHD1	ENSG00000167210
2	0.92	FHL1	ENSG00000022267
3	0.88	SACS	ENSG00000151835
4	0.84	ETHRD1	
5	0.8	GALNS	ENSG00000141012
6	0.76	DYNC1H1	ENSG00000197102
7	0.72	SOX10	ENSG00000100146
8	0.68	MECP2	ENSG00000169057
9	0.64	LOXHD1	ENSG00000167210
10	0.6	COL2A1	ENSG00000139219
11	0.56	MCPH1	ENSG00000147316
12	0.52	LRP4	ENSG00000134569
13	0.48	KIF1A	ENSG00000130294
14	0.44	POGZ	ENSG00000143442
15	0.4	ABCA4	ENSG00000198691
16	0.36	SLC12A6	ENSG00000140199
17	0.32	PTPN11	ENSG00000179295
18	0.28	NRAS	ENSG00000213281
19	0.24	PTPN11	ENSG00000179295
20	0.2	GDF5	ENSG00000125965
21	0.16	PTPN11	ENSG00000179295
22	0.12	FGFR3	ENSG00000068078
23	0.08	BMPR1B	ENSG00000138696
24	0.04	SHH	ENSG00000164690
25	0.0	PTPN11	ENSG00000179295
