rank	score	gene_symbol	gene_identifier
1	0.013	FREM1	ENSG00000164946
2	0.0106	GTF2H5	ENSG00000272047
3	0.0099	PLG	ENSG00000122194
4	0.0094	LMNA	ENSG00000160789
5	0.0056	WDR11	ENSG00000120008
6	0.0055	PGAP1	ENSG00000197121
6	0.0055	ADNP	ENSG00000101126
8	0.0054	FOXP3	ENSG00000049768
8	0.0054	FAM20C	ENSG00000177706
10	0.0053	CCL1	ENSG00000108702
10	0.0053	CCL13	ENSG00000181374
10	0.0053	CCL2	ENSG00000108691
13	0.005	PNPLA1	ENSG00000180316
14	0.0049	ABCA12	ENSG00000144452
15	0.0046	TCOF1	ENSG00000070814
16	0.0045	NOSIP	ENSG00000142546
16	0.0045	IFT27	ENSG00000100360
18	0.0043	ENAM	ENSG00000132464
18	0.0043	ATP6V0A2	ENSG00000185344
20	0.004	PRRX1	ENSG00000116132
20	0.004	TGFB2	ENSG00000092969
20	0.004	FOCAD	ENSG00000188352
23	0.0039	GBA1	ENSG00000177628
23	0.0039	NOS1	ENSG00000089250
25	0.0038	POLR3A	ENSG00000148606
25	0.0038	CSF1R	ENSG00000182578
27	0.0037	LRP6	ENSG00000070018
27	0.0037	FOXC1	ENSG00000054598
29	0.0036	SIRT1	ENSG00000096717
29	0.0036	ZSCAN10	ENSG00000130182
31	0.0035	MED12	ENSG00000184634
31	0.0035	EDNRA	ENSG00000151617
33	0.0034	NPHP3	ENSG00000113971
33	0.0034	ARB2A	ENSG00000113391
35	0.0033	DYNC2H1	ENSG00000187240
35	0.0033	ABHD5	ENSG00000011198
35	0.0033	SIK3	ENSG00000160584
35	0.0033	CSF1	ENSG00000184371
39	0.0032	TNN	ENSG00000120332
39	0.0032	DEF6	ENSG00000023892
39	0.0032	MKS1	ENSG00000011143
39	0.0032	ZMPSTE24	ENSG00000084073
39	0.0032	FOXH1	ENSG00000160973
44	0.0031	TBX1	ENSG00000184058
44	0.0031	SOX11	ENSG00000176887
44	0.0031	OCRL	ENSG00000122126
47	0.003	TNFSF11	ENSG00000120659
47	0.003	ZIC2	ENSG00000043355
47	0.003	ZNF699	ENSG00000196110
50	0.0029	DCLRE1C	ENSG00000152457
50	0.0029	RAG1	ENSG00000166349
50	0.0029	RAG2	ENSG00000175097
50	0.0029	NKX2-3	ENSG00000119919
54	0.0028	DISP1	ENSG00000154309
54	0.0028	SNX10	ENSG00000086300
54	0.0028	BCL2	ENSG00000171791
54	0.0028	NFIX	ENSG00000008441
54	0.0028	PRF1	ENSG00000180644
59	0.0027	AHR	ENSG00000106546
59	0.0027	FLI1	ENSG00000151702
59	0.0027	ZIC3	ENSG00000156925
59	0.0027	PIK3C2A	ENSG00000011405
59	0.0027	JAK1	ENSG00000162434
64	0.0026	HMOX1	ENSG00000100292
64	0.0026	SMARCAL1	ENSG00000138375
64	0.0026	FOS	ENSG00000170345
64	0.0026	TRAF6	ENSG00000175104
64	0.0026	CTSA	ENSG00000064601
64	0.0026	SFN	ENSG00000175793
64	0.0026	ADAMTS3	ENSG00000156140
64	0.0026	CCBE1	ENSG00000183287
64	0.0026	FAT4	ENSG00000196159
64	0.0026	FGFR1	ENSG00000077782
64	0.0026	IFT57	ENSG00000114446
64	0.0026	MYSM1	ENSG00000162601
76	0.0025	LYST	ENSG00000143669
76	0.0025	MITF	ENSG00000187098
76	0.0025	SCUBE3	ENSG00000146197
76	0.0025	PLVAP	ENSG00000130300
76	0.0025	ASXL3	ENSG00000141431
76	0.0025	TWSG1	ENSG00000128791
76	0.0025	KMT2D	ENSG00000167548
76	0.0025	TNFRSF11A	ENSG00000141655
76	0.0025	RBCK1	ENSG00000125826
76	0.0025	EBP	ENSG00000147155
76	0.0025	VDR	ENSG00000111424
76	0.0025	MPV17	ENSG00000115204
76	0.0025	SUN1	ENSG00000164828
76	0.0025	UBR1	ENSG00000159459
90	0.0024	RBM10	ENSG00000182872
90	0.0024	PRKG1	ENSG00000185532
90	0.0024	DHCR7	ENSG00000172893
90	0.0024	KAT6A	ENSG00000083168
90	0.0024	PTGS1	ENSG00000095303
90	0.0024	CREBBP	ENSG00000005339
90	0.0024	ADAMTS2	ENSG00000087116
90	0.0024	SRC	ENSG00000197122
90	0.0024	GNB2	ENSG00000172354
90	0.0024	GLI3	ENSG00000106571
90	0.0024	FIG4	ENSG00000112367
101	0.0023	KRAS	ENSG00000133703
101	0.0023	COL1A1	ENSG00000108821
101	0.0023	COL5A1	ENSG00000130635
101	0.0023	COL5A2	ENSG00000204262
101	0.0023	SP6	ENSG00000189120
101	0.0023	KISS1R	ENSG00000116014
101	0.0023	PTCH1	ENSG00000185920
101	0.0023	NIPBL	ENSG00000164190
101	0.0023	CLOCK	ENSG00000134852
101	0.0023	ARID5B	ENSG00000150347
101	0.0023	CHD7	ENSG00000171316
101	0.0023	ZEB2	ENSG00000169554
113	0.0022	EP300	ENSG00000100393
113	0.0022	ATP13A3	ENSG00000133657
113	0.0022	ARVCF	ENSG00000099889
113	0.0022	COMT	ENSG00000093010
113	0.0022	GP1BB	ENSG00000203618
113	0.0022	HIRA	ENSG00000100084
113	0.0022	JMJD1C	ENSG00000171988
113	0.0022	RREB1	ENSG00000124782
113	0.0022	SEC24C	ENSG00000176986
113	0.0022	UFD1	ENSG00000070010
113	0.0022	NDST1	ENSG00000070614
113	0.0022	NEU1	ENSG00000204386
113	0.0022	SLC38A10	ENSG00000157637
113	0.0022	LAMA5	ENSG00000130702
113	0.0022	PMM2	ENSG00000140650
113	0.0022	RRM2B	ENSG00000048392
113	0.0022	MOCOS	ENSG00000075643
113	0.0022	LHCGR	ENSG00000138039
113	0.0022	CD55	ENSG00000196352
132	0.0021	ALG12	ENSG00000182858
132	0.0021	HRAS	ENSG00000174775
132	0.0021	PLOD1	ENSG00000083444
132	0.0021	AARS1	ENSG00000090861
