rank	score	gene_symbol	gene_identifier
1	0.0137	FOXG1	ENSG00000176165
2	0.0133	MBD5	ENSG00000204406
3	0.0128	SHANK3	ENSG00000251322
4	0.0115	BRAF	ENSG00000157764
5	0.0113	CACNA2D1	ENSG00000153956
6	0.0112	SPTBN1	ENSG00000115306
7	0.0105	GRIN1	ENSG00000176884
8	0.01	MECP2	ENSG00000169057
9	0.0098	PDE2A	ENSG00000186642
10	0.0096	CAMK2B	ENSG00000058404
10	0.0096	NEXMIF	ENSG00000050030
12	0.0095	HTT	ENSG00000197386
13	0.0092	RTTN	ENSG00000176225
14	0.0089	GNB2	ENSG00000172354
14	0.0089	DHX30	ENSG00000132153
16	0.0087	H4C5	ENSG00000198518
17	0.0084	ZEB2	ENSG00000169554
18	0.0082	ZBTB18	ENSG00000179456
18	0.0082	DHCR7	ENSG00000172893
20	0.0081	ADNP	ENSG00000101126
20	0.0081	CDKL5	ENSG00000008086
20	0.0081	GABBR2	ENSG00000136928
20	0.0081	NTNG1	ENSG00000162631
20	0.0081	SMC1A	ENSG00000072501
25	0.008	NTNG2	ENSG00000196358
26	0.0075	SYT1	ENSG00000067715
27	0.0072	ANK3	ENSG00000151150
28	0.0071	VPS13A	ENSG00000197969
29	0.0069	CNTNAP2	ENSG00000174469
30	0.0068	ATG7	ENSG00000197548
30	0.0068	RHOBTB2	ENSG00000008853
32	0.0066	MEF2C	ENSG00000081189
33	0.0065	EEF1A2	ENSG00000101210
34	0.0064	PTCHD1	ENSG00000165186
34	0.0064	SLC35C1	ENSG00000181830
36	0.0063	CACNA1B	ENSG00000148408
37	0.0062	AFG2A	ENSG00000145375
37	0.0062	FIG4	ENSG00000112367
39	0.006	RAB11B	ENSG00000185236
39	0.006	FMR1	ENSG00000102081
41	0.0059	PUF60	ENSG00000179950
42	0.0056	PGAP3	ENSG00000161395
43	0.0055	TRIM8	ENSG00000171206
44	0.0054	DOCK7	ENSG00000116641
44	0.0054	TRAPPC9	ENSG00000167632
46	0.0053	POLA1	ENSG00000101868
46	0.0053	SPEN	ENSG00000065526
48	0.0052	HNRNPK	ENSG00000165119
49	0.0051	PIGP	ENSG00000185808
50	0.0049	ELP2	ENSG00000134759
51	0.0048	AP3B2	ENSG00000103723
52	0.0047	GFM2	ENSG00000164347
52	0.0047	DPM1	ENSG00000000419
54	0.0046	NR2F1	ENSG00000175745
55	0.0045	ALG13	ENSG00000101901
55	0.0045	IREB2	ENSG00000136381
57	0.0043	GALNT2	ENSG00000143641
57	0.0043	GRIA3	ENSG00000125675
57	0.0043	TBC1D23	ENSG00000036054
57	0.0043	PUS7	ENSG00000091127
61	0.0042	POGZ	ENSG00000143442
61	0.0042	GRIK2	ENSG00000164418
61	0.0042	ZDHHC9	ENSG00000188706
64	0.0041	AFF3	ENSG00000144218
64	0.0041	RAI1	ENSG00000108557
66	0.004	CREBBP	ENSG00000005339
66	0.004	EP300	ENSG00000100393
66	0.004	NIPBL	ENSG00000164190
69	0.0039	DEAF1	ENSG00000177030
69	0.0039	GUF1	ENSG00000151806
69	0.0039	ADCY5	ENSG00000173175
69	0.0039	ALG2	ENSG00000119523
69	0.0039	NHLRC2	ENSG00000196865
74	0.0038	ASH1L	ENSG00000116539
74	0.0038	GRIN2B	ENSG00000273079
74	0.0038	ZSWIM6	ENSG00000130449
77	0.0037	UBA5	ENSG00000081307
77	0.0037	ATP1A2	ENSG00000018625
79	0.0036	FLII	ENSG00000177731
79	0.0036	IQSEC2	ENSG00000124313
79	0.0036	PEX13	ENSG00000162928
82	0.0035	SLC1A4	ENSG00000115902
82	0.0035	ZBTB20	ENSG00000181722
82	0.0035	DPAGT1	ENSG00000172269
85	0.0034	CLP1	ENSG00000172409
85	0.0034	CUX2	ENSG00000111249
85	0.0034	CHMP1A	ENSG00000131165
85	0.0034	UGP2	ENSG00000169764
89	0.0033	DOLK	ENSG00000175283
89	0.0033	CABLES1	ENSG00000134508
89	0.0033	TWNK	ENSG00000107815
89	0.0033	TCF20	ENSG00000100207
93	0.0032	ATP9A	ENSG00000054793
93	0.0032	ARFGEF2	ENSG00000124198
93	0.0032	RAC1	ENSG00000136238
93	0.0032	ASXL3	ENSG00000141431
93	0.0032	MDH2	ENSG00000146701
93	0.0032	NTRK2	ENSG00000148053
93	0.0032	AGO1	ENSG00000092847
93	0.0032	HUWE1	ENSG00000086758
93	0.0032	NACC1	ENSG00000160877
93	0.0032	CASZ1	ENSG00000130940
93	0.0032	GABRD	ENSG00000187730
93	0.0032	HSPG2	ENSG00000142798
93	0.0032	KCNAB2	ENSG00000069424
93	0.0032	LUZP1	ENSG00000169641
93	0.0032	MMP23B	ENSG00000189409
93	0.0032	PDPN	ENSG00000162493
93	0.0032	PRDM16	ENSG00000142611
93	0.0032	PRKCZ	ENSG00000067606
93	0.0032	RERE	ENSG00000142599
93	0.0032	SKI	ENSG00000157933
93	0.0032	UBE4B	ENSG00000130939
114	0.0031	NEUROD2	ENSG00000171532
114	0.0031	SNRPN	ENSG00000128739
114	0.0031	CERT1	ENSG00000113163
117	0.003	TFE3	ENSG00000068323
117	0.003	DDC	ENSG00000132437
117	0.003	NDUFS4	ENSG00000164258
117	0.003	GFM1	ENSG00000168827
117	0.003	KAT6A	ENSG00000083168
117	0.003	NALCN	ENSG00000102452
117	0.003	BHLHE22	ENSG00000180828
117	0.003	NEUROD1	ENSG00000162992
117	0.003	ARHGEF9	ENSG00000131089
117	0.003	SATB1	ENSG00000182568
117	0.003	ZMYM2	ENSG00000121741
128	0.0029	SLC6A8	ENSG00000130821
128	0.0029	HSD17B4	ENSG00000133835
128	0.0029	NDP	ENSG00000124479
128	0.0029	WDR45B	ENSG00000141580
128	0.0029	GCDH	ENSG00000105607
128	0.0029	ATP1A3	ENSG00000105409
128	0.0029	ITPR3	ENSG00000096433
135	0.0028	PGAP1	ENSG00000197121
135	0.0028	C2CD3	ENSG00000168014
135	0.0028	MAP1B	ENSG00000131711
135	0.0028	WDR26	ENSG00000162923
135	0.0028	EHMT1	ENSG00000181090
140	0.0027	SMARCA2	ENSG00000080503
140	0.0027	VAC14	ENSG00000103043
140	0.0027	AUTS2	ENSG00000158321
140	0.0027	SLC6A9	ENSG00000196517
140	0.0027	HECW2	ENSG00000138411
140	0.0027	NOVA2	ENSG00000104967
140	0.0027	NAGS	ENSG00000161653
140	0.0027	SLC25A1	ENSG00000100075
148	0.0026	FRMPD4	ENSG00000169933
148	0.0026	CSPP1	ENSG00000104218
148	0.0026	KIAA0586	ENSG00000100578
148	0.0026	MADD	ENSG00000110514
148	0.0026	KMT2A	ENSG00000118058
148	0.0026	TANC2	ENSG00000170921
148	0.0026	KCNJ6	ENSG00000157542
148	0.0026	SCN1A	ENSG00000144285
148	0.0026	GLYCTK	ENSG00000168237
148	0.0026	KCNT1	ENSG00000107147
148	0.0026	DYRK1A	ENSG00000157540
159	0.0025	CLCN3	ENSG00000109572
159	0.0025	TTI2	ENSG00000129696
159	0.0025	VARS1	ENSG00000204394
159	0.0025	PRDM8	ENSG00000152784
159	0.0025	CARS1	ENSG00000110619
159	0.0025	PHGDH	ENSG00000092621
159	0.0025	EML1	ENSG00000066629
159	0.0025	AKT3	ENSG00000117020
159	0.0025	PPP2CA	ENSG00000113575
159	0.0025	KPTN	ENSG00000118162
159	0.0025	OCRL	ENSG00000122126
159	0.0025	CHD8	ENSG00000100888
159	0.0025	USP7	ENSG00000187555
159	0.0025	ARX	ENSG00000004848
159	0.0025	RARS1	ENSG00000113643
159	0.0025	CHAMP1	ENSG00000198824
175	0.0024	GNB5	ENSG00000069966
175	0.0024	EXT2	ENSG00000151348
175	0.0024	STRADA	ENSG00000266173
175	0.0024	AGTPBP1	ENSG00000135049
175	0.0024	TCF4	ENSG00000196628
175	0.0024	GLI3	ENSG00000106571
175	0.0024	TARS2	ENSG00000143374
175	0.0024	DDX6	ENSG00000110367
175	0.0024	MAOA	ENSG00000189221
175	0.0024	FOXP1	ENSG00000114861
175	0.0024	MICOS13	ENSG00000174917
175	0.0024	BICRA	ENSG00000063169
175	0.0024	GPHN	ENSG00000171723
175	0.0024	AHDC1	ENSG00000126705
189	0.0023	CHD3	ENSG00000170004
189	0.0023	BUB1B	ENSG00000156970
189	0.0023	HNRNPH2	ENSG00000126945
189	0.0023	TRIO	ENSG00000038382
189	0.0023	ADSL	ENSG00000239900
189	0.0023	TRAPPC6B	ENSG00000182400
189	0.0023	TUBB3	ENSG00000198211
189	0.0023	FBXW11	ENSG00000072803
189	0.0023	SLC25A12	ENSG00000115840
189	0.0023	RFX7	ENSG00000181827
189	0.0023	NLGN4X	ENSG00000146938
189	0.0023	TBCD	ENSG00000141556
201	0.0022	NLGN3	ENSG00000196338
201	0.0022	ST3GAL3	ENSG00000126091
201	0.0022	PPP2R5D	ENSG00000112640
201	0.0022	SLC13A5	ENSG00000141485
201	0.0022	TUBB2B	ENSG00000137285
201	0.0022	SOX5	ENSG00000134532
201	0.0022	TAOK1	ENSG00000160551
201	0.0022	SVBP	ENSG00000177868
201	0.0022	DLK1	ENSG00000185559
201	0.0022	RTL1	ENSG00000254656
201	0.0022	HCRT	ENSG00000161610
201	0.0022	UNC80	ENSG00000144406
201	0.0022	HESX1	ENSG00000163666
201	0.0022	FBXO28	ENSG00000143756
201	0.0022	WDR4	ENSG00000160193
201	0.0022	CNNM2	ENSG00000148842
201	0.0022	KAT5	ENSG00000172977
201	0.0022	CNTNAP1	ENSG00000108797
201	0.0022	CACNG2	ENSG00000166862
201	0.0022	C9orf72	ENSG00000147894
201	0.0022	CHMP2B	ENSG00000083937
201	0.0022	GRN	ENSG00000030582
201	0.0022	MAPT	ENSG00000186868
