rank	score	gene_symbol	gene_identifier
1	0.0087	SCN4A	ENSG00000007314
2	0.0066	SGCG	ENSG00000102683
2	0.0066	CLCN1	ENSG00000188037
4	0.0062	HSPG2	ENSG00000142798
5	0.0055	DMD	ENSG00000198947
6	0.0054	MSTN	ENSG00000138379
7	0.0053	ATP2A1	ENSG00000196296
8	0.0052	POLG	ENSG00000140521
8	0.0052	TK2	ENSG00000166548
10	0.0049	FKRP	ENSG00000181027
10	0.0049	DGUOK	ENSG00000114956
12	0.0041	HINT1	ENSG00000169567
12	0.0041	SGCA	ENSG00000108823
12	0.0041	AGL	ENSG00000162688
15	0.004	DHTKD1	ENSG00000181192
15	0.004	TRDN	ENSG00000186439
15	0.004	TYMP	ENSG00000025708
18	0.0038	CAV3	ENSG00000182533
18	0.0038	PABPN1	ENSG00000100836
20	0.0037	SELENON	ENSG00000162430
21	0.0036	ZMPSTE24	ENSG00000084073
21	0.0036	VAPB	ENSG00000124164
21	0.0036	TRMU	ENSG00000100416
21	0.0036	RNASEH1	ENSG00000171865
25	0.0035	COL4A1	ENSG00000187498
25	0.0035	ANO5	ENSG00000171714
27	0.0033	STIM1	ENSG00000167323
27	0.0033	CAVIN1	ENSG00000177469
27	0.0033	SGCD	ENSG00000170624
30	0.0032	LRIG3	ENSG00000139263
30	0.0032	CNBP	ENSG00000169714
30	0.0032	CACNA1S	ENSG00000081248
30	0.0032	GABRA3	ENSG00000011677
34	0.0031	TWNK	ENSG00000107815
34	0.0031	SMAD4	ENSG00000141646
36	0.003	LMNA	ENSG00000160789
37	0.0029	GBE1	ENSG00000114480
37	0.0029	LARGE1	ENSG00000133424
37	0.0029	POLG2	ENSG00000256525
37	0.0029	RRM2B	ENSG00000048392
37	0.0029	SLC25A4	ENSG00000151729
37	0.0029	MYOT	ENSG00000120729
37	0.0029	INPP5K	ENSG00000132376
37	0.0029	SIL1	ENSG00000120725
45	0.0028	TCF15	ENSG00000125878
46	0.0027	CAPN3	ENSG00000092529
46	0.0027	ITGA7	ENSG00000135424
46	0.0027	ZDHHC13	ENSG00000177054
46	0.0027	SYNC	ENSG00000162520
46	0.0027	ASAH1	ENSG00000104763
51	0.0025	MPV17	ENSG00000115204
51	0.0025	DYSF	ENSG00000135636
53	0.0024	FBN2	ENSG00000138829
53	0.0024	VMA21	ENSG00000160131
55	0.0023	ACTA1	ENSG00000143632
55	0.0023	KBTBD13	ENSG00000234438
55	0.0023	KLHL41	ENSG00000239474
55	0.0023	MYPN	ENSG00000138347
55	0.0023	NEB	ENSG00000183091
55	0.0023	TPM2	ENSG00000198467
55	0.0023	TPM3	ENSG00000143549
55	0.0023	AP4E1	ENSG00000081014
55	0.0023	KCNA1	ENSG00000111262
55	0.0023	SLC25A42	ENSG00000181035
65	0.0022	IGHMBP2	ENSG00000132740
65	0.0022	TRIM55	ENSG00000147573
67	0.0021	EMD	ENSG00000102119
67	0.0021	FHL1	ENSG00000022267
67	0.0021	SYNE1	ENSG00000131018
67	0.0021	SYNE2	ENSG00000054654
67	0.0021	TMEM43	ENSG00000170876
72	0.002	AARS2	ENSG00000124608
72	0.002	TRMT5	ENSG00000126814
72	0.002	PUS1	ENSG00000177192
75	0.0019	CRYAB	ENSG00000109846
75	0.0019	VPS54	ENSG00000143952
75	0.0019	NOS3	ENSG00000164867
75	0.0019	KCNJ11	ENSG00000187486
75	0.0019	MUSK	ENSG00000030304
80	0.0018	YARS2	ENSG00000139131
80	0.0018	COL6A1	ENSG00000142156
80	0.0018	PPARD	ENSG00000112033
80	0.0018	PFKM	ENSG00000152556
80	0.0018	PCMT1	ENSG00000120265
80	0.0018	AFG3L2	ENSG00000141385
80	0.0018	RPS2	ENSG00000140988
87	0.0017	DNM2	ENSG00000079805
87	0.0017	KCNE3	ENSG00000175538
87	0.0017	MTM1	ENSG00000171100
87	0.0017	ZEB2	ENSG00000169554
87	0.0017	AR	ENSG00000169083
87	0.0017	GAN	ENSG00000261609
87	0.0017	VEGFA	ENSG00000112715
87	0.0017	LRRK1	ENSG00000154237
87	0.0017	SURF1	ENSG00000148290
87	0.0017	RNF168	ENSG00000163961
97	0.0016	DNAJC5	ENSG00000101152
97	0.0016	MIEF2	ENSG00000177427
97	0.0016	RNF208	ENSG00000212864
97	0.0016	RYR1	ENSG00000196218
97	0.0016	LRPPRC	ENSG00000138095
97	0.0016	CACNA1A	ENSG00000141837
97	0.0016	PYGM	ENSG00000068976
97	0.0016	MYH4	ENSG00000264424
105	0.0015	CFL2	ENSG00000165410
105	0.0015	COX6B1	ENSG00000126267
105	0.0015	DST	ENSG00000151914
105	0.0015	MYH1	ENSG00000109061
105	0.0015	DNAJB4	ENSG00000162616
105	0.0015	COX10	ENSG00000006695
105	0.0015	VCP	ENSG00000165280
105	0.0015	SLC6A8	ENSG00000130821
105	0.0015	EPM2A	ENSG00000112425
105	0.0015	PRKAA2	ENSG00000162409
105	0.0015	MDGA2	ENSG00000139915
105	0.0015	PHKA1	ENSG00000067177
105	0.0015	MLIP	ENSG00000146147
105	0.0015	MTMR14	ENSG00000163719
119	0.0014	SVIL	ENSG00000197321
119	0.0014	FCGR2A	ENSG00000143226
119	0.0014	FCGR2B	ENSG00000072694
119	0.0014	LDB3	ENSG00000122367
119	0.0014	GAA	ENSG00000171298
119	0.0014	ISCU	ENSG00000136003
119	0.0014	BANF1	ENSG00000175334
119	0.0014	GMPPA	ENSG00000144591
119	0.0014	BBS4	ENSG00000140463
119	0.0014	KLHL40	ENSG00000157119
119	0.0014	ASPA	ENSG00000108381
119	0.0014	LAMA2	ENSG00000196569
131	0.0013	SACS	ENSG00000151835
131	0.0013	PSAP	ENSG00000197746
131	0.0013	TPM1	ENSG00000140416
131	0.0013	SIGLEC14	ENSG00000254415
131	0.0013	TRPM1	ENSG00000134160
131	0.0013	CLP1	ENSG00000172409
131	0.0013	DNM1L	ENSG00000087470
131	0.0013	SLC34A1	ENSG00000131183
131	0.0013	IL16	ENSG00000172349
131	0.0013	SYNM	ENSG00000182253
131	0.0013	NDUFA4	ENSG00000189043
131	0.0013	STMN2	ENSG00000104435
131	0.0013	ABHD12	ENSG00000100997
