rank	score	gene_symbol	gene_identifier
1	0.9	SPAST	ENSG00000021574
2	0.85	SPG11	ENSG00000104133
3	0.8	SPG7	ENSG00000197912
4	0.75	ATL1	ENSG00000198513
5	0.7	REEP1	ENSG00000068615
6	0.65	SPG20	ENSG00000133104
7	0.6	KIF1A	ENSG00000130294
8	0.55	CYP7B1	ENSG00000172817
9	0.5	NT5C2	ENSG00000076685
10	0.45	ALS2	ENSG00000003393
11	0.4	NIPA1	ENSG00000170113
12	0.35	SPG3A	ENSG00000198513
13	0.3	PLS1	ENSG00000120756
14	0.25	AP5Z1	ENSG00000242802
15	0.2	ZFYVE26	ENSG00000072121
16	0.15	ARG1	ENSG00000118520
17	0.1	SPG21	ENSG00000090487
