rank	score	gene_symbol	gene_identifier
1	0.9	POLG	ENSG00000140521
2	0.85	MFN2	ENSG00000116688
3	0.8	SURF1	ENSG00000148290
4	0.75	MECP2	ENSG00000169057
5	0.7	TK2	ENSG00000166548
6	0.65	SUCLA2	ENSG00000136143
7	0.6	NDUFS8	ENSG00000110717
8	0.55	FBXL4	ENSG00000112234
9	0.5	MPZ	ENSG00000158887
10	0.45	COX10	ENSG00000006695
11	0.4	COX15	ENSG00000014919
12	0.35	SDHA	ENSG00000073578
13	0.3	SCO2	ENSG00000284194
14	0.25	NDUFS3	ENSG00000213619
15	0.2	NDUFS4	ENSG00000164258
16	0.15	PDHX	ENSG00000110435
17	0.1	NDUFAF2	ENSG00000164182
