rank	score	gene_symbol	gene_identifier
1	0.95	ASPM	ENSG00000066279
2	0.93	NDE1	ENSG00000072864
3	0.91	TUBA1A	ENSG00000167552
4	0.89	WDR62	ENSG00000075702
5	0.88	PAFAH1B1	ENSG00000007168
6	0.86	TUBB2B	ENSG00000137285
7	0.85	TUBG1	ENSG00000131462
8	0.83	CDK5RAP2	ENSG00000136861
9	0.82	KIF2A	ENSG00000068796
10	0.8	KIF5C	ENSG00000168280
11	0.78	MCPH1	ENSG00000147316
12	0.76	PCNT	ENSG00000160299
13	0.75	STIL	ENSG00000123473
14	0.73	ZNF335	ENSG00000198026
15	0.72	CASC5	ENSG00000137812
16	0.7	KNL1	ENSG00000137812
17	0.68	CEP135	ENSG00000174799
18	0.65	CEP152	ENSG00000103995
19	0.63	CEP63	ENSG00000182923
20	0.62	MEF2C	ENSG00000081189
