rank	score	gene_symbol	gene_identifier
1	0.95	MECP2	ENSG00000169057
2	0.9	SHANK3	ENSG00000251322
3	0.88	FOXP2	ENSG00000128573
4	0.85	GABRB3	ENSG00000166206
5	0.83	OTOF	ENSG00000115155
6	0.82	GJB2	ENSG00000165474
7	0.81	SLC6A8	ENSG00000130821
8	0.78	PKHD1	ENSG00000170927
9	0.76	USH2A	ENSG00000042781
10	0.75	POU3F4	ENSG00000196767
11	0.72	CHD7	ENSG00000171316
12	0.7	SOX9	ENSG00000125398
13	0.67	CFTR	ENSG00000001626
14	0.66	PAX3	ENSG00000135903
15	0.65	JAG1	ENSG00000101384
16	0.63	PDYN	ENSG00000101327
17	0.6	COL2A1	ENSG00000139219
18	0.58	UBE3A	ENSG00000114062
19	0.56	EDA	ENSG00000158813
20	0.54	TP63	ENSG00000073282
21	0.52	RUNX2	ENSG00000124813
22	0.5	TBX22	ENSG00000122145
