rank	score	gene_symbol	gene_identifier
1	0.9	SPG7	ENSG00000197912
2	0.85	SPAST	ENSG00000021574
3	0.8	KIF1A	ENSG00000130294
4	0.75	ATXN1	ENSG00000124788
5	0.7	ATXN2	ENSG00000204842
6	0.65	ATXN3	ENSG00000066427
7	0.6	FXN	ENSG00000165060
8	0.55	ATP1A3	ENSG00000105409
9	0.5	CACNA1A	ENSG00000141837
10	0.45	FBXO7	ENSG00000100225
11	0.4	GJA1	ENSG00000152661
12	0.35	NPC1	ENSG00000141458
13	0.3	EIF2B5	ENSG00000145191
14	0.25	GALC	ENSG00000054983
15	0.2	SETX	ENSG00000107290
16	0.15	PNKP	ENSG00000039650
17	0.1	WFS1	ENSG00000109501
