rank	score	gene_symbol	gene_identifier
1	0.9	CHD7	ENSG00000171316
2	0.85	FGFR3	ENSG00000068078
3	0.8	CFTR	ENSG00000001626
4	0.75	GATA6	ENSG00000141448
5	0.7	PAX6	ENSG00000007372
6	0.65	SOX9	ENSG00000125398
7	0.6	EIF2B5	ENSG00000145191
8	0.55	PKD1	ENSG00000008710
9	0.5	PKD2	ENSG00000118762
10	0.45	MECP2	ENSG00000169057
11	0.4	FOXP2	ENSG00000128573
12	0.35	TBX5	ENSG00000089225
13	0.3	MYH6	ENSG00000197616
14	0.25	NKX2-5	ENSG00000183072
15	0.2	GJB2	ENSG00000165474
16	0.15	SLC26A4	ENSG00000091137
17	0.1	OTOF	ENSG00000115155
