rank	score	gene_symbol	gene_identifier
1	0.9	MECP2	ENSG00000169057
2	0.85	CDKL5	ENSG00000008086
3	0.8	FOXG1	ENSG00000176165
4	0.75	UBE3A	ENSG00000114062
5	0.7	SCN1A	ENSG00000144285
6	0.65	SLC2A1	ENSG00000117394
7	0.6	PPP2R5D	ENSG00000112640
8	0.55	DYRK1A	ENSG00000157540
9	0.5	CTNNB1	ENSG00000168036
10	0.45	TSC1	ENSG00000165699
11	0.4	TSC2	ENSG00000103197
12	0.35	PTEN	ENSG00000171862
13	0.3	DDC	ENSG00000132437
14	0.25	SLC6A8	ENSG00000130821
15	0.2	GABRG2	ENSG00000113327
16	0.15	SCN2A	ENSG00000136531
