rank	score	gene_symbol	gene_identifier
1	0.9	ATM	ENSG00000149311
2	0.85	TERT	ENSG00000164362
3	0.8	CASK	ENSG00000147044
4	0.75	L1CAM	ENSG00000198910
5	0.7	DKC1	ENSG00000130826
6	0.65	ABCA12	ENSG00000144452
7	0.6	APTX	ENSG00000137074
8	0.55	TWIST2	ENSG00000233608
9	0.5	RNF168	ENSG00000163961
10	0.45	RAB3GAP1	ENSG00000115839
11	0.4	SCN1A	ENSG00000144285
12	0.35	UCHL1	ENSG00000154277
13	0.3	COL6A1	ENSG00000142156
14	0.25	MFN2	ENSG00000116688
15	0.2	GAA	ENSG00000171298
16	0.15	BEST1	ENSG00000167995
17	0.1	CDH3	ENSG00000062038
