rank	score	gene_symbol	gene_identifier
1	0.95	COL1A1	ENSG00000108821
2	0.94	COL1A2	ENSG00000164692
3	0.93	FLNB	ENSG00000136068
4	0.92	SLC25A24	ENSG00000085491
5	0.91	B3GAT3	ENSG00000149541
6	0.9	ATP6V0A2	ENSG00000185344
7	0.85	PYCR1	ENSG00000183010
8	0.83	ALDH18A1	ENSG00000059573
9	0.82	ATP6VOA2	
10	0.8	MGP	ENSG00000111341
11	0.78	DSPP	ENSG00000152591
12	0.75	LIFR	ENSG00000113594
13	0.73	DCAF12	ENSG00000198876
14	0.7	DYM	ENSG00000141627
15	0.68	FGFR3	ENSG00000068078
16	0.65	PLOD2	ENSG00000152952
17	0.63	SMARCAL1	ENSG00000138375
18	0.6	PLK4	ENSG00000142731
19	0.58	SOX11	ENSG00000176887
20	0.55	NIPBL	ENSG00000164190
21	0.52	FBN1	ENSG00000166147
22	0.5	SALL1	ENSG00000103449
