rank	score	gene_symbol	gene_identifier
1	0.9	FGFR2	ENSG00000066468
2	0.8	TP63	ENSG00000073282
3	0.7	FGFR3	ENSG00000068078
3	0.7	TGFBR1	ENSG00000106799
5	0.6	TGFBR2	ENSG00000163513
5	0.6	SMAD4	ENSG00000141646
7	0.5	CREBBP	ENSG00000005339
7	0.5	EP300	ENSG00000100393
7	0.5	FBN1	ENSG00000166147
10	0.4	EFNB1	ENSG00000090776
10	0.4	RUNX2	ENSG00000124813
12	0.3	COL1A1	ENSG00000108821
12	0.3	COL1A2	ENSG00000164692
12	0.3	COL2A1	ENSG00000139219
15	0.2	COL3A1	ENSG00000168542
15	0.2	COL5A1	ENSG00000130635
17	0.1	COL5A2	ENSG00000204262
