rank	score	gene_symbol	gene_identifier
1	0.91	SYNGAP1	ENSG00000197283
2	0.89	ANKRD11	ENSG00000167522
3	0.87	SHANK3	ENSG00000251322
4	0.85	MECP2	ENSG00000169057
5	0.81	ARX	ENSG00000004848
6	0.78	CDKL5	ENSG00000008086
7	0.76	FOXP1	ENSG00000114861
8	0.74	SCN2A	ENSG00000136531
9	0.71	PTEN	ENSG00000171862
10	0.67	SYP	ENSG00000102003
11	0.65	CTNNB1	ENSG00000168036
12	0.63	CACNA1C	ENSG00000151067
13	0.59	DLGAP2	ENSG00000198010
14	0.57	DLG4	ENSG00000132535
15	0.55	GABRG2	ENSG00000113327
16	0.51	NLGN3	ENSG00000196338
17	0.47	CHD2	ENSG00000173575
18	0.43	STXBP1	ENSG00000136854
19	0.39	GABRA1	ENSG00000022355
20	0.35	NRXN1	ENSG00000179915
21	0.31	HCN1	ENSG00000164588
22	0.27	SLC9A6	ENSG00000198689
23	0.23	ATP1A3	ENSG00000105409
24	0.19	KCNQ2	ENSG00000075043
25	0.15	PAX6	ENSG00000007372
26	0.11	SPTAN1	ENSG00000197694
