rank	score	gene_symbol	gene_identifier
1	0.9	PARK7	ENSG00000116288
2	0.85	SNCA	ENSG00000145335
3	0.8	LRRK2	ENSG00000188906
4	0.75	PINK1	ENSG00000158828
5	0.7	PRKN	ENSG00000185345
6	0.65	GBA	ENSG00000177628
7	0.6	VPS35	ENSG00000069329
8	0.55	ATP13A2	ENSG00000159363
9	0.5	SGCE	ENSG00000127990
10	0.45	GCH1	ENSG00000131979
11	0.4	TH	ENSG00000180176
12	0.35	TOR1A	ENSG00000136827
13	0.3	ARSG	ENSG00000141337
14	0.25	PANK2	ENSG00000125779
15	0.2	PLA2G6	ENSG00000184381
16	0.15	FA2H	ENSG00000103089
17	0.1	C19orf12	ENSG00000131943
