rank	score	gene_symbol	gene_identifier
1	0.9	DKC1	ENSG00000130826
2	0.85	RPL11	ENSG00000142676
3	0.8	RPS19	ENSG00000105372
4	0.75	RPL35A	ENSG00000182899
5	0.7	RPS10	ENSG00000124614
6	0.65	TCIRG1	ENSG00000110719
7	0.6	LMAN1	ENSG00000074695
8	0.55	RRM2B	ENSG00000048392
9	0.5	FBXO31	ENSG00000103264
10	0.45	GNPTAB	ENSG00000111670
11	0.4	ARSA	ENSG00000100299
12	0.35	TSFM	ENSG00000123297
13	0.3	SRP54	ENSG00000100883
14	0.25	DNAJC19	ENSG00000205981
15	0.2	USB1	ENSG00000103005
16	0.15	TERT	ENSG00000164362
17	0.1	TINF2	ENSG00000092330
