rank	score	gene_symbol	gene_identifier
1	0.9	SBDS	ENSG00000126524
2	0.8	RPS19	ENSG00000105372
2	0.8	RPL5	ENSG00000122406
4	0.7	RPL11	ENSG00000142676
4	0.7	RPL35A	ENSG00000182899
6	0.6	EYA1	ENSG00000104313
6	0.6	DKC1	ENSG00000130826
6	0.6	TERT	ENSG00000164362
6	0.6	TINF2	ENSG00000092330
6	0.6	FRDA	ENSG00000165060
6	0.6	ATXN1	ENSG00000124788
6	0.6	TUBB4A	ENSG00000104833
6	0.6	POLG	ENSG00000140521
14	0.5	ATM	ENSG00000149311
14	0.5	CEP290	ENSG00000198707
14	0.5	ABCD1	ENSG00000101986
14	0.5	NPC1	ENSG00000141458
14	0.5	TWNK	ENSG00000107815
14	0.5	FXN	ENSG00000165060
14	0.5	APTX	ENSG00000137074
