rank	score	gene_symbol	gene_identifier
1	0.96	PHOX2B	ENSG00000109132
2	0.94	SOX2	ENSG00000181449
3	0.91	TBX5	ENSG00000089225
4	0.89	RAD21	ENSG00000164754
5	0.86	MECP2	ENSG00000169057
6	0.84	MYCN	ENSG00000134323
7	0.71	FOXP1	ENSG00000114861
8	0.68	EDA	ENSG00000158813
9	0.67	PAX6	ENSG00000007372
10	0.64	CHD7	ENSG00000171316
11	0.58	CYP1B1	ENSG00000138061
12	0.46	TEK	ENSG00000120156
13	0.39	SALL1	ENSG00000103449
14	0.37	COL4A1	ENSG00000187498
15	0.36	FOXH1	ENSG00000160973
16	0.32	KCNJ2	ENSG00000123700
