rank	score	gene_symbol	gene_identifier
1	0.9	COL5A1	ENSG00000130635
2	0.88	COL5A2	ENSG00000204262
3	0.87	COL3A1	ENSG00000168542
4	0.86	FBN1	ENSG00000166147
5	0.7	TGFBR1	ENSG00000106799
5	0.7	TGFBR2	ENSG00000163513
7	0.65	SMAD3	ENSG00000166949
8	0.6	ADAMTS2	ENSG00000087116
9	0.55	TNXB	ENSG00000168477
10	0.5	PRDM5	ENSG00000138738
10	0.5	ZNF469	ENSG00000225614
12	0.4	B4GALT7	ENSG00000027847
12	0.4	SLC2A10	ENSG00000197496
12	0.4	MYH11	ENSG00000133392
15	0.3	ELN	ENSG00000049540
15	0.3	FLNA	ENSG00000196924
15	0.3	ACTA2	ENSG00000107796
