rank	score	gene_symbol	gene_identifier
1	0.95	COL17A1	ENSG00000065618
2	0.94	LAMA3	ENSG00000053747
2	0.94	LAMB3	ENSG00000196878
2	0.94	LAMC2	ENSG00000058085
5	0.93	COL7A1	ENSG00000114270
6	0.89	ITGB4	ENSG00000132470
6	0.89	ITGA6	ENSG00000091409
8	0.87	PLEC	ENSG00000178209
9	0.85	DST	ENSG00000151914
10	0.82	FLG	ENSG00000143631
11	0.81	TGM5	ENSG00000104055
12	0.8	PKP1	ENSG00000081277
13	0.78	DSP	ENSG00000096696
14	0.76	JUP	ENSG00000173801
15	0.75	KRT5	ENSG00000186081
15	0.75	KRT14	ENSG00000186847
