rank	score	gene_symbol	gene_identifier
1	0.9	NR0B1	ENSG00000169297
2	0.85	KAL1	ENSG00000011201
3	0.8	CHD7	ENSG00000171316
4	0.75	FGFR1	ENSG00000077782
5	0.7	PROKR2	ENSG00000101292
5	0.7	PROK2	ENSG00000163421
7	0.65	GNRH1	ENSG00000147437
8	0.6	KISS1R	ENSG00000116014
9	0.55	TAC3	ENSG00000166863
9	0.55	TACR3	ENSG00000169836
11	0.5	HS6ST1	ENSG00000136720
11	0.5	GPR54	ENSG00000116014
13	0.45	SEMA3A	ENSG00000075213
13	0.45	SEMA3E	ENSG00000170381
15	0.4	FEZF1	ENSG00000128610
16	0.35	IL17RD	ENSG00000144730
17	0.3	FLRT3	ENSG00000125848
18	0.25	FMR1	ENSG00000102081
19	0.2	AR	ENSG00000169083
