rank	score	gene_symbol	gene_identifier
1	0.9	KCNH2	ENSG00000055118
2	0.85	KCNE1	ENSG00000180509
2	0.85	SCN5A	ENSG00000183873
4	0.8	RyR2	
5	0.75	KCNQ1	ENSG00000053918
6	0.7	ANK2	ENSG00000145362
7	0.65	CACNA1C	ENSG00000151067
8	0.6	KCNE2	ENSG00000159197
9	0.55	KCNE3	ENSG00000175538
10	0.5	KCNE5	ENSG00000176076
11	0.45	SCN4B	ENSG00000177098
12	0.4	SNTA1	ENSG00000101400
13	0.35	KCND3	ENSG00000171385
14	0.3	KCNE4	ENSG00000152049
15	0.25	KCNE1B	
16	0.2	AKAP9	ENSG00000127914
17	0.15	TNNT2	ENSG00000118194
18	0.1	MYH7	ENSG00000092054
