rank	score	gene_symbol	gene_identifier
1	0.95	SALL4	ENSG00000101115
2	0.85	FOXI1	ENSG00000168269
3	0.8	EYA1	ENSG00000104313
4	0.75	PAX2	ENSG00000075891
5	0.7	SOX10	ENSG00000100146
6	0.65	CHD7	ENSG00000171316
7	0.6	GATA3	ENSG00000107485
8	0.55	JAG1	ENSG00000101384
9	0.5	OTOF	ENSG00000115155
10	0.45	ACTG1	ENSG00000184009
11	0.4	MYO15A	ENSG00000091536
12	0.35	CDH23	ENSG00000107736
13	0.3	POU3F4	ENSG00000196767
14	0.25	TJP2	ENSG00000119139
15	0.2	SLC26A4	ENSG00000091137
16	0.15	MYO7A	ENSG00000137474
