rank	score	gene_symbol	gene_identifier
1	0.9	PURA	ENSG00000185129
2	0.85	TSC1	ENSG00000165699
2	0.85	TSC2	ENSG00000103197
4	0.8	SOX2	ENSG00000181449
5	0.75	BRAF	ENSG00000157764
6	0.7	FOXH1	ENSG00000160973
7	0.65	GLI3	ENSG00000106571
8	0.6	IFT140	ENSG00000187535
9	0.55	KIF11	ENSG00000138160
10	0.5	OFD1	ENSG00000046651
11	0.45	AIRE	ENSG00000160224
12	0.4	ALDH7A1	ENSG00000164904
13	0.35	GABRD	ENSG00000187730
14	0.3	OTX2	ENSG00000165588
15	0.25	PAX6	ENSG00000007372
16	0.2	STAG1	ENSG00000118007
17	0.15	PHOX2B	ENSG00000109132
18	0.1	TMEM67	ENSG00000164953
