rank	score	gene_symbol	gene_identifier
1	0.9	POLG	ENSG00000140521
2	0.8	SPG7	ENSG00000197912
3	0.7	MFN2	ENSG00000116688
4	0.6	PINK1	ENSG00000158828
4	0.6	PARK2	ENSG00000185345
6	0.5	LRRK2	ENSG00000188906
7	0.4	SNCA	ENSG00000145335
7	0.4	VDAC1	ENSG00000213585
9	0.3	OGA	ENSG00000198408
9	0.3	ATP13A2	ENSG00000159363
9	0.3	FBXO7	ENSG00000100225
12	0.2	MT-ND1	ENSG00000198888
12	0.2	GCH1	ENSG00000131979
12	0.2	TYMP	ENSG00000025708
12	0.2	OPA1	ENSG00000198836
16	0.1	DNAJC6	ENSG00000116675
16	0.1	TH	ENSG00000180176
