rank	score	gene_symbol	gene_identifier
1	0.9	RHO	ENSG00000163914
2	0.8	PDE6B	ENSG00000133256
3	0.7	RP1	ENSG00000104237
4	0.6	RP2	ENSG00000102218
4	0.6	USH2A	ENSG00000042781
4	0.6	RLBP1	ENSG00000140522
7	0.5	CRB1	ENSG00000134376
7	0.5	PDE6A	ENSG00000132915
9	0.4	PRPH2	ENSG00000112619
9	0.4	RDH12	ENSG00000139988
9	0.4	RPE65	ENSG00000116745
12	0.3	ABCA4	ENSG00000198691
12	0.3	RPGR	ENSG00000156313
14	0.2	CHM	ENSG00000188419
14	0.2	GUCY2D	ENSG00000132518
16	0.1	TULP1	ENSG00000112041
16	0.1	CNGA1	ENSG00000198515
