rank	score	gene_symbol	gene_identifier
1	0.9	SPAST	ENSG00000021574
2	0.8	PLP1	ENSG00000123560
3	0.7	GJB1	ENSG00000169562
4	0.6	CYP7B1	ENSG00000172817
5	0.5	ATL1	ENSG00000198513
6	0.4	SPG7	ENSG00000197912
7	0.3	REEP1	ENSG00000068615
8	0.2	SLC52A2	ENSG00000185803
9	0.1	SLC52A3	ENSG00000101276
9	0.1	FA2H	ENSG00000103089
9	0.1	FIG4	ENSG00000112367
9	0.1	KIF5A	ENSG00000155980
9	0.1	L1CAM	ENSG00000198910
9	0.1	NT5C2	ENSG00000076685
9	0.1	PML	ENSG00000140464
9	0.1	PRF1	ENSG00000180644
9	0.1	RAB7A	ENSG00000075785
