rank	score	gene_symbol	gene_identifier
1	0.9	DOCK8	ENSG00000107099
2	0.85	ZAP70	ENSG00000115085
3	0.8	RAG1	ENSG00000166349
3	0.8	RAG2	ENSG00000175097
5	0.75	IL2RG	ENSG00000147168
5	0.75	JAK3	ENSG00000105639
7	0.7	STAT3	ENSG00000168610
7	0.7	LIG4	ENSG00000174405
7	0.7	DCLRE1C	ENSG00000152457
10	0.65	ADA	ENSG00000196839
10	0.65	IKZF1	ENSG00000185811
12	0.6	TNFRSF13B	ENSG00000240505
12	0.6	PIK3R1	ENSG00000145675
12	0.6	PTEN	ENSG00000171862
15	0.55	CD3D	ENSG00000167286
15	0.55	CD3E	ENSG00000198851
15	0.55	CORO1A	ENSG00000102879
18	0.5	BTK	ENSG00000010671
18	0.5	FOXP3	ENSG00000049768
