rank	score	gene_symbol	gene_identifier
1	1.0	SMN1	ENSG00000172062
2	0.9	FBN1	ENSG00000166147
3	0.8	DMPK	ENSG00000104936
4	0.7	COL6A1	ENSG00000142156
4	0.7	COL6A2	ENSG00000142173
4	0.7	COL6A3	ENSG00000163359
7	0.6	POMT1	ENSG00000130714
7	0.6	POMT2	ENSG00000009830
9	0.5	DMD	ENSG00000198947
9	0.5	FKRP	ENSG00000181027
9	0.5	FKTN	ENSG00000106692
12	0.4	LAMA2	ENSG00000196569
12	0.4	SEPN1	ENSG00000162430
14	0.3	RYR1	ENSG00000196218
15	0.2	CHD7	ENSG00000171316
15	0.2	UPF3B	ENSG00000125351
17	0.1	MECP2	ENSG00000169057
