rank	score	gene_symbol	gene_identifier
1	0.85	NAA10	ENSG00000102030
2	0.8	CTDP1	ENSG00000060069
3	0.75	DYNC2H1	ENSG00000187240
4	0.7	EFTUD2	ENSG00000108883
4	0.7	FGFR2	ENSG00000066468
6	0.65	GJA8	ENSG00000121634
6	0.65	GJB2	ENSG00000165474
8	0.6	HCCS	ENSG00000004961
8	0.6	HSF4	ENSG00000102878
8	0.6	NHS	ENSG00000188158
8	0.6	OCRL	ENSG00000122126
8	0.6	OPA3	ENSG00000125741
8	0.6	PAX6	ENSG00000007372
14	0.55	RAB3GAP1	ENSG00000115839
14	0.55	RAB3GAP2	ENSG00000118873
16	0.5	SKIV2L	ENSG00000204351
16	0.5	SLC25A24	ENSG00000085491
16	0.5	TARS2	ENSG00000143374
16	0.5	TIMM8A	ENSG00000126953
16	0.5	TWNK	ENSG00000107815
16	0.5	BCOR	ENSG00000183337
