rank	score	gene_symbol	gene_identifier
1	0.9	USH2A	ENSG00000042781
2	0.85	RPGR	ENSG00000156313
3	0.8	RPE65	ENSG00000116745
4	0.75	CRB1	ENSG00000134376
5	0.7	RP1	ENSG00000104237
5	0.7	PRPH2	ENSG00000112619
7	0.65	ABCA4	ENSG00000198691
8	0.6	RLBP1	ENSG00000140522
8	0.6	PDE6B	ENSG00000133256
10	0.55	PDE6A	ENSG00000132915
11	0.5	PDE6G	ENSG00000185527
11	0.5	NR2E3	ENSG00000278570
13	0.45	EYS	ENSG00000188107
14	0.4	BEST1	ENSG00000167995
14	0.4	RDH12	ENSG00000139988
16	0.35	PRPF31	ENSG00000105618
17	0.3	IMPDH1	ENSG00000106348
17	0.3	CNGB1	ENSG00000070729
19	0.25	CNGA1	ENSG00000198515
20	0.2	SAG	ENSG00000130561
21	0.15	ROM1	ENSG00000149489
