rank	score	gene_symbol	gene_identifier
1	0.9	BBS1	ENSG00000174483
2	0.85	BBS2	ENSG00000125124
2	0.85	BBS4	ENSG00000140463
4	0.8	ALMS1	ENSG00000116127
5	0.75	BBS10	ENSG00000179941
5	0.75	BBS12	ENSG00000181004
5	0.75	BBS9	ENSG00000122507
8	0.7	BBS5	ENSG00000163093
8	0.7	MKKS	ENSG00000125863
10	0.65	SDCCAG8	ENSG00000054282
10	0.65	CEP290	ENSG00000198707
12	0.6	BBS7	ENSG00000138686
12	0.6	BBS3	ENSG00000113966
12	0.6	TTC8	ENSG00000165533
15	0.55	BBS11	
15	0.55	TRIM32	ENSG00000119401
15	0.55	IQCB1	ENSG00000173226
18	0.5	WDR19	ENSG00000157796
18	0.5	BBS6	ENSG00000125863
20	0.45	ARL6	ENSG00000113966
