rank	score	gene_symbol	gene_identifier
1	0.95	LMNA	ENSG00000160789
2	0.9	MYH7	ENSG00000092054
3	0.85	TNNT2	ENSG00000118194
4	0.8	TPM1	ENSG00000140416
5	0.75	MYBPC3	ENSG00000134571
6	0.7	TNNI3	ENSG00000129991
7	0.68	SCN5A	ENSG00000183873
8	0.65	ACTC1	ENSG00000159251
9	0.6	TNNC1	ENSG00000114854
10	0.55	MYL3	ENSG00000160808
11	0.5	MYL2	ENSG00000111245
12	0.45	CSRP3	ENSG00000129170
13	0.4	ANKRD1	ENSG00000148677
14	0.35	TBX5	ENSG00000089225
15	0.3	NKX2-5	ENSG00000183072
16	0.25	KCNE1	ENSG00000180509
17	0.2	KCNE2	ENSG00000159197
18	0.15	KCNH2	ENSG00000055118
19	0.1	KCNQ1	ENSG00000053918
