rank	score	gene_symbol	gene_identifier
1	0.95	RPGR	ENSG00000156313
2	0.94	USH2A	ENSG00000042781
3	0.93	RP1	ENSG00000104237
4	0.92	RHO	ENSG00000163914
5	0.91	PDE6B	ENSG00000133256
6	0.9	PRPH2	ENSG00000112619
7	0.89	RLBP1	ENSG00000140522
8	0.88	CRB1	ENSG00000134376
9	0.87	RP2	ENSG00000102218
10	0.86	NR2E3	ENSG00000278570
11	0.85	ABCA4	ENSG00000198691
12	0.84	RDH12	ENSG00000139988
13	0.83	RPE65	ENSG00000116745
14	0.82	BEST1	ENSG00000167995
15	0.81	IMPDH1	ENSG00000106348
16	0.8	RP1L1	ENSG00000183638
