rank	score	gene_symbol	gene_identifier
1	0.9	TP63	ENSG00000073282
2	0.8	SALL1	ENSG00000103449
3	0.7	SOX9	ENSG00000125398
3	0.7	CHD7	ENSG00000171316
5	0.6	FGFR2	ENSG00000066468
5	0.6	FGFR3	ENSG00000068078
7	0.5	TGFBR2	ENSG00000163513
7	0.5	FBN1	ENSG00000166147
7	0.5	COL2A1	ENSG00000139219
7	0.5	GJB2	ENSG00000165474
7	0.5	SLC26A4	ENSG00000091137
12	0.4	FOXH1	ENSG00000160973
12	0.4	PAX3	ENSG00000135903
12	0.4	MITF	ENSG00000187098
12	0.4	EDNRA	ENSG00000151617
16	0.3	SOX10	ENSG00000100146
16	0.3	EYA1	ENSG00000104313
