rank	score	gene_symbol	gene_identifier
1	0.85	BBS1	ENSG00000174483
2	0.84	BBS10	ENSG00000179941
3	0.83	ALMS1	ENSG00000116127
4	0.82	ABCA4	ENSG00000198691
5	0.8	RPGR	ENSG00000156313
6	0.78	RP2	ENSG00000102218
7	0.77	USH2A	ENSG00000042781
8	0.76	CRB1	ENSG00000134376
9	0.75	PDE6B	ENSG00000133256
10	0.74	RPE65	ENSG00000116745
11	0.72	PRPH2	ENSG00000112619
12	0.7	LRAT	ENSG00000121207
13	0.69	RDH12	ENSG00000139988
14	0.68	IMPDH1	ENSG00000106348
15	0.67	PDE6A	ENSG00000132915
16	0.66	CNGA1	ENSG00000198515
17	0.65	CNGB1	ENSG00000070729
18	0.64	GNAT2	ENSG00000134183
19	0.63	RHO	ENSG00000163914
20	0.62	ROM1	ENSG00000149489
