rank	score	gene_symbol	gene_identifier
1	0.9	SPG7	ENSG00000197912
2	0.85	ATXN1	ENSG00000124788
2	0.85	ATXN2	ENSG00000204842
2	0.85	ATXN3	ENSG00000066427
2	0.85	CSTB	ENSG00000160213
6	0.8	ELOVL4	ENSG00000118402
6	0.8	FXN	ENSG00000165060
6	0.8	ITPR1	ENSG00000150995
9	0.75	KCNC3	ENSG00000131398
9	0.75	KCNJ10	ENSG00000177807
9	0.75	MRE11	ENSG00000020922
9	0.75	PPP2R2B	ENSG00000156475
9	0.75	SACS	ENSG00000151835
9	0.75	SETX	ENSG00000107290
9	0.75	SPTBN2	ENSG00000173898
9	0.75	TDP1	ENSG00000042088
9	0.75	TTPA	ENSG00000137561
9	0.75	TTBK2	ENSG00000128881
19	0.7	SYNE1	ENSG00000131018
