rank	score	gene_symbol	gene_identifier
1	0.9	RYR2	ENSG00000198626
2	0.8	MYH7	ENSG00000092054
3	0.7	TNNT2	ENSG00000118194
4	0.6	LMNA	ENSG00000160789
4	0.6	SCN5A	ENSG00000183873
6	0.5	DSP	ENSG00000096696
6	0.5	PKP2	ENSG00000057294
6	0.5	DSG2	ENSG00000046604
9	0.4	DSC2	ENSG00000134755
9	0.4	TMEM43	ENSG00000170876
11	0.3	PLN	ENSG00000198523
11	0.3	TNNI3	ENSG00000129991
11	0.3	MYBPC3	ENSG00000134571
11	0.3	ACTC1	ENSG00000159251
15	0.2	MYL3	ENSG00000160808
15	0.2	MYL2	ENSG00000111245
15	0.2	TPM1	ENSG00000140416
18	0.1	TNNC1	ENSG00000114854
18	0.1	JUP	ENSG00000173801
