rank	score	gene_symbol	gene_identifier
1	0.9	MECP2	ENSG00000169057
2	0.85	CDKL5	ENSG00000008086
3	0.8	SCN1A	ENSG00000144285
4	0.75	FOXG1	ENSG00000176165
5	0.7	UBE3A	ENSG00000114062
6	0.65	ARX	ENSG00000004848
7	0.6	STXBP1	ENSG00000136854
8	0.55	SYP	ENSG00000102003
9	0.5	PAFAH1B1	ENSG00000007168
10	0.45	TBR1	ENSG00000136535
11	0.4	SLC25A22	ENSG00000177542
12	0.35	KCNT1	ENSG00000107147
13	0.3	PCDH19	ENSG00000165194
14	0.25	NTNG1	ENSG00000162631
15	0.2	DYNAP	ENSG00000178690
16	0.15	SYNGAP1	ENSG00000197283
17	0.1	GABRA1	ENSG00000022355
