rank	score	gene_symbol	gene_identifier
1	0.95	SURF1	ENSG00000148290
2	0.9	PDHA1	ENSG00000131828
2	0.9	SCO2	ENSG00000284194
4	0.85	PC	ENSG00000173599
4	0.85	SLC19A3	ENSG00000135917
6	0.8	TUBB3	ENSG00000258947
6	0.8	POLG	ENSG00000140521
8	0.75	MT-ATP6	ENSG00000198899
9	0.7	NDUFAF5	ENSG00000101247
9	0.7	NDUFAF2	ENSG00000164182
9	0.7	NDUFS4	ENSG00000164258
9	0.7	NDUFV1	ENSG00000167792
13	0.65	COX10	ENSG00000006695
13	0.65	COX15	ENSG00000014919
15	0.6	LRPPRC	ENSG00000138095
15	0.6	EARS2	ENSG00000103356
15	0.6	DLD	ENSG00000091140
18	0.55	FBXL4	ENSG00000112234
19	0.5	RMND1	ENSG00000155906
19	0.5	TAZ	ENSG00000102125
