rank	score	gene_symbol	gene_identifier
1	0.95	SPAST	ENSG00000021574
2	0.9	ATL1	ENSG00000198513
3	0.85	SPG7	ENSG00000197912
4	0.8	REEP1	ENSG00000068615
5	0.75	SPG11	ENSG00000104133
6	0.7	CYP7B1	ENSG00000172817
7	0.65	NIPA1	ENSG00000170113
8	0.6	PLP1	ENSG00000123560
9	0.55	L1CAM	ENSG00000198910
10	0.5	FA2H	ENSG00000103089
11	0.45	GJC2	ENSG00000198835
12	0.4	KIF1A	ENSG00000130294
13	0.35	SPG21	ENSG00000090487
14	0.3	ZFYVE26	ENSG00000072121
15	0.25	SPG3A	ENSG00000198513
16	0.2	HSPD1	ENSG00000144381
17	0.15	ALS2	ENSG00000003393
