rank	score	gene_symbol	gene_identifier
1	0.95	SPG7	ENSG00000197912
2	0.93	ATXN1	ENSG00000124788
2	0.93	ATXN2	ENSG00000204842
4	0.92	ATXN3	ENSG00000066427
5	0.9	SPG11	ENSG00000104133
6	0.89	ATXN7	ENSG00000163635
6	0.89	C9orf72	ENSG00000147894
8	0.88	ATXN10	ENSG00000130638
9	0.87	ATXN8OS	ENSG00000230223
10	0.86	PPP2R2B	ENSG00000156475
10	0.86	SPTBN2	ENSG00000173898
12	0.85	TDP1	ENSG00000042088
12	0.85	SYNE1	ENSG00000131018
14	0.84	SPG4	ENSG00000021574
14	0.84	SPAST	ENSG00000021574
16	0.83	REEP1	ENSG00000068615
16	0.83	FXN	ENSG00000165060
18	0.82	POLG	ENSG00000140521
19	0.81	SPG3A	ENSG00000198513
20	0.8	ELOVL5	ENSG00000012660
