rank	score	gene_symbol	gene_identifier
1	0.9	PAFAH1B1	ENSG00000007168
2	0.85	MCPH1	ENSG00000147316
3	0.8	ASPM	ENSG00000066279
4	0.75	CDK5RAP2	ENSG00000136861
5	0.7	CASK	ENSG00000147044
6	0.65	STIL	ENSG00000123473
7	0.6	WDR62	ENSG00000075702
8	0.55	KIF11	ENSG00000138160
9	0.5	TUBA1A	ENSG00000167552
10	0.45	TUBG1	ENSG00000131462
11	0.4	PHGDH	ENSG00000092621
12	0.35	GPR56	ENSG00000205336
13	0.3	SLC25A19	ENSG00000125454
14	0.25	TUBB2B	ENSG00000137285
15	0.2	TUBB3	ENSG00000258947
16	0.15	DYNC1H1	ENSG00000197102
17	0.1	VLDLR	ENSG00000147852
18	0.05	RELN	ENSG00000189056
